a	DEJNOV
achieving	V
achilles	N
aching	JV
acid	JN
acid-fast	J
acid-rain	JN
acid-washed	J
acidified	V
acidity	N
acidly	R
acids	N
acidulous	J
aciduria	N
ackerley	N
ackerly	N
ackerman	N
ackermann	N
acknowledge	V
acknowledged	JV
acknowledgement	N
acknowledges	V
acknowledging	V
acknowledgment	N
acknowledgments	N
acknowleged	V
ackroyd	N
aclu	N
acme-cleveland	N
acne	N
acolyte	N
aconte	N
acorn	N
acorns	N
acourse	N
acoustic	JN
acoustical	J
acoustically	R
acoustics	N
acquaint	V
acquaintance	N
acquainted	V
acquiesce	V
acquiesced	V
acquiescence	N
acquiesence	N
acquire	NV
acquired	JNV
acquirer	N
acquirers	N
acquires	V
acquiring	V
acquisition	N
acquisition-hungry	J
acquisition-minded	J
acquisition-proof	J
acquisitions	N
acquisitive	J
acquisitiveness	N
acquisiton	N
acquistion	N
acquit	V
acquittal	N
acquitted	V
acre	N
acre-feet	N
acreage	N
acres	N
acrid	J
acrimonious	J
acrimony	N
acrobacy	N
acrobat	N
acrobatic	J
acrobatics	N
acrobats	N
acronym	N
acropolis	N
across	NPR
across-the-board	JNR
across-the-board-cuts	N
acrylic	N
acrylic-fiber	J
acs	N
act	NV
acted	V
acth	N
acting	JNV
acting-president	N
actinometer	N
action	N
action-adventure	J
action-oriented	J
action-packed	J
action-results	N
actionable	J
actions	N
activate	V
activated	JV
activating	V
activation	N
active	JN
active-matrix	JN
active-player	N
actively	R
actives	N
activism	N
activist	JN
activists	NV
activities	N
activity	N
acton	N
actor	N
actor-crooner	N
actors	N
actress	N
actresses	N
acts	NV
actual	J
actualities	N
actuality	N
actually	R
actuarial	J
actuarially	R
actuaries	N
actuary	N
actuate	V
actuated	V
actuators	N
acumen	N
acupuncture	N
acupuncturist	N
acura	N
acushnet	N
acustar	N
acute	JN
acute-care	N
acutely	R
acuvue	N
ad	EN
ad-agency	N
ad-free	J
ad-hoc	J
ad-lib	N
ad-rate	N
ad-supported	J
ad-unit	N
ada	N
adage	N
adagio	NR
adagios	N
adair	N
adalbert	N
adam	N
adamant	J
adamantly	R
adame	N
adamec	N
adamo	N
adams	N
adamski	N
adamson	N
adapt	V
adaptability	N
adaptable	J
adaptaplex	N
adaptation	N
adaptations	N
adaptec	N
adapted	V
adapter	N
adapters	N
adapting	NV
adaptor	N
adapts	V
adb	N
adc	N
adcock	N
add	V
add-on	JN
add-ons	N
addabbo	N
adde	N
added	JNV
added-value	J
addict	N
addicted	JNV
addiction	N
addiction-treatment	JN
addictions	N
addictive	J
addicts	N
adding	NV
addington	N
addis	N
addison	N
addiss	N
addition	N
additional	J
additionally	R
additions	N
additive	N
additives	N
addle-brained	J
addled	JV
address	NV
addressed	JV
addressee	N
addressees	N
addresses	NV
addressing	V
addresss	N
adds	NV
adduce	V
addwest	N
ade	N
adelaide	N
adele	N
adelia	N
adella	N
adelman	N
adelos	N
aden	N
adenauer	N
adenocard	N
adenomas	N
adens	N
adept	J
adepts	N
adequacy	N
adequate	J
adequately	R
aderholds	N
adhere	V
adhered	V
adherence	N
adherent	JN
adherents	N
adheres	V
adhering	V
adhesion	N
adhesive	JN
adhesives	N
adi	N
adia	N
adieu	E
adios	EN
adios-direct	N
adios-on	N
adios-rena	N
adios-trustful	N
adipic	J
adirondack	N
adirondacks	N
adjacent	J
adjectival	J
adjective	N
adjectives	N
adjoined	V
adjoining	JV
adjoins	V
adjourn	V
adjourned	V
adjourning	NV
adjournment	N
adjourns	V
adjudged	V
adjudging	V
adjudicate	V
adjudication	N
adjudicator	N
adjudicators	N
adjunct	JN
adjuncts	N
adjust	V
adjustable	J
adjustable-rate	J
adjustablerate	N
adjustables	N
adjusted	JNV
adjuster	N
adjusters	N
adjusting	NV
adjustment	N
adjustments	N
adjusts	V
adlai	N
adler	N
adley	N
adman	N
admarketing	N
admassy	N
admen	N
administer	V
administered	V
administering	V
administers	V
administrate	V
administration	N
administration-fed	J
administration-insured	J
administrations	N
administrative	JN
administratively	R
administrator	N
administrator-general	N
administrators	N
adminstration	N
adminstrative	J
admirable	J
admirably	R
admiral	N
admirals	N
admiralty	N
admiration	N
admire	V
admired	JV
admirer	N
admirers	N
admires	V
admiring	V
admiringly	R
admissible	J
admission	N
admissions	N
admistration	N
admit	V
admits	NV
admittance	N
admittances	N
admitted	JV
admittedly	R
admittees	N
admitting	V
admixed	V
admonished	V
admonishing	V
admonishments	N
admonition	N
admonitions	N
adn	N
adnan	N
ado	N
adobe	N
adolescence	N
adolescent	JN
adolescents	N
adolf	N
adolph	N
adolphus	N
adoniram	N
adonis	N
adopt	V
adoptable	J
adopted	JV
adoptee	N
adoptees	N
adopters	N
